category,value,question,answer
sports,500,"Boxer whose life was portrayed in ""Somebody Up There Likes Me\""",Rocky Graziano
labor unions,200,Notorious labor leader missing since '75,Jimmy Hoffa
1789,200,"Washington proclaimed Nov. 26, 1789 this first national holiday",Thanksgiving
1789,400,Why April 28th was a bad day for Capt. Bligh,the day of the mutiny on the Bounty
1789,1000,"Now totaling over $1 trillion, it began 11 days after Treasury was established in 1789",the national debt
tourist traps,200,Both Ferde Grofe' & the Colorado River dug this national park,the Grand Canyon
tourist traps,400,Seaside resort that has a monopoly on East Coast gambling,"Atlantic City, New Jersey"
tourist traps,600,"Since '27, stars have made good impressions at this Hollywood site",Mann's Chinese Theatre
tourist traps,800,A thrilling destination for tight-rope walkers & honeymooners,Niagara Falls
tourist traps,1000,Tourists know this Catholic mission as Davy Crockett's last stand,the Alamo
literature,200,"Depending on the book, he could be a ""Jones"", a ""Sawyer"", or an ""Uncle\""",Tom
literature,400,"He wrote ""The 3 Musketeers""; his son wrote ""Camille\""",(Alexandre) Dumas
literature,600,Where you can't go again in Thomas Wolfe title,home
literature,800,Irving's bird-like hero chased by the Headless Horseman,Ichabod Crane
literature,1000,Shaw's scorched saint,St. Joan of Arc
homonyms,200,Hindu hierarchy or a play's actors,a caste (cast)
homonyms,400,Near or a purchase,by (buy)
homonyms,600,"A fixed look, or Ginger Rogers' partner",a stare (Astaire)
homonyms,1000,Didn't see the fog,missed (mist)
homonyms,1000,Where ships dock or what a jury consists of,piers (peers)
tv trivia,200,"Last season, this series mourned the loss of Sgt. Esterhaus",Hill Street Blues
tv trivia,400,He went from the Ponderosa to the prairie,Michael Landon
tv trivia,600,"In 1970 he had a ""Goodtime Hour\""",Glen Campbell
tv trivia,800,"Jackie Gleason show that rejected titles ""The Lovers"" & ""The Couple Next Door\""",The Honeymooners
tv trivia,1000,"In court, he'd always make mincemeat of Hamilton Burger",Perry Mason
u.s. presidents,0,"Adventurous 26th president, he was 1st to ride in an automobile & an airplane",Theodore Roosevelt
gay '90s,100,"By '97 they had air-filled rubber tires, coaster brakes & adjustable handlebars",bicycles
gay '90s,200,It sank in Havana Harbor & set off a war,the Maine
gay '90s,300,"On March 18, 1891, this mode of communication was inaugurated between London & Paris",the telephone
potent potables,100,In 1935 Kreuger's Cream Ale was the first beer sold in these,cans
potent potables,200,"Never swallowing, they sip, swish, gargle, then spit out what they sample",what wine tasters do
potent potables,300,This 19th century Philadelphia distiller's name became slang for liquor,Booze
potent potables,400,"Derived from Hindu word for ""5"", describing number of ingredients mixed in a large bowl",punch
potent potables,500,C2H5OH,the formula for alcohol
states in song,100,It's where I came from with a banjo on my knee,Alabama
states in song,200,"According to Beach Boys' hit, state with the cutest girls in the world",California
states in song,300,State where you'd find Elvis' rain & Diamond's woman,Kentucky
states in song,400,"The alternate lyrics to ""I've Been Working On The Railroad\""","\""The Eyes Of Texas\"""
states in song,500,Patti Page hit that is official song of a southern state,"\""The Tennessee Waltz\"""
old testament,100,Delilah gave him a real trimming,Samson
old testament,200,"In Hebrew its name means ""Sea of Reeds\""",the Red Sea
old testament,300,Through sons Isaac & Ishmael both Jews & Arabs descend from him,Abraham
old testament,400,"The name ""Palestine"" comes from these Biblical enemies of Israel",the Philistines
old testament,500,"Sorrowful O.T. prophet, his name now refers to predictors of doom",Jeremiah
holidays,100,Italian-American's have made this their equivalent of St. Patrick's Day,Columbus Day
holidays,200,"Though we ""love"" his ""day"", he's been taken off calendar of saints",St. Valentine
holidays,300,The eve of All Saints' Day,Halloween
holidays,400,"In colonial Massachusetts, Puritans made this Christian holiday illegal",Christmas
holidays,500,Several Southern states celebrate his June 3rd birthday instead of Lincoln's,Jefferson Davis
"starts with ""q\""",100,Klugman's coroner,Quincy
"starts with ""q\""",200,Hugo's hunchback,Quasimodo
"starts with ""q\""",300,"\""To be or not to be\""",the question
"starts with ""q\""",400,Oldest city in Canada,Quebec
"starts with ""q\""",500,Popular name of the Religious Society of Friends,the Quakers
u.s. history,200,"In '63, 200,000 Washington marchers heard him say, ""I have a dream\""","Martin Luther King, Jr."
u.s. history,400,The last occasion Congress declared war on any country,World War II
u.s. history,800,Only state carried by George McGovern in '72 election,Massachusetts
u.s. history,1000,"Justice Hugo Black, a leading supporter of school desegregation, was once member of this group",the KKK
shakespeare,200,"Shakespeare's only comedy with ""comedy"" in the title",Comedy of Errors
shakespeare,400,"In it, Puck comments: ""Lord, what fools these mortals be!\""",A Midsummer Night's Dream
shakespeare,600,What Shylock demanded instead of interest,a pound of flesh
shakespeare,800,"Completes the line ""If music be the food of love...\""",play on
shakespeare,1000,"Hamlet's closest friend, only major character left alive at play's end",Horatio
musical instruments,1000,"Plucked instrument brought to U.S. by slaves, now a fixture in bluegrass",the banjo
homonyms,200,"Dave Garroway's sign-off, or a slice of cake",peace (piece)
homonyms,400,"What Oliver Twist wanted, or Susan Anton's diminutive date",more (Moore)
homonyms,600,"Olympic swimmer, or what a tobacco chewer does into a spittoon",Spitz (spits)
homonyms,800,"Expensive onion, or what happens when there's a hole in the bucket",leek (leak)
homonyms,1000,"A peasant, or where you hang 10",serf (surf)
landmarks,800,Only 1 of the 7 wonders of the ancient world still standing,the Great Pyramid
landmarks,600,"Though unmarried & childless, he lives in the world's largest residential palace",the Pope
tv trivia,200,"Every week this comedienne was ""so glad we had this time together\""",Carol Burnett
tv trivia,400,"Richard Carlson ""led"" this number of lives as a communist counterspy & FBI agent",3
tv trivia,600,Lucy & Desi's TV production company,Desilu
tv trivia,800,"Series which pitted ""CONTROL"" against ""KAOS\""",Get Smart
tv trivia,1000,"Crooner who was 1st offered role of ""Columbo"" but turned it down because he didn't need the money",Bing Crosby
titled heads,0,N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality,Monaco
world capitals,100,Costa Rican capital people might know the way to,San Jose
world capitals,200,"It's divided into the Kanda, Marunoucki, Asakusa & Ginza districts",Tokyo
world capitals,300,Home to NATO & little green sprouts,Brussels
world capitals,400,"This capital's street signs are in English, Arabic & Hebrew",Jerusalem
world capitals,500,"If the other twin had founded it, it might have been called ""Reme\""",Rome
foods,100,Southern specialty & America's favorite main dish,southern fried chicken
foods,200,"Deli delight, from Yiddish for Ring",a bagel
foods,300,"Pickle men, not doctors, do this for bacon & ham",cure
foods,500,"East Indians who never ask ""Where's the beef?\""",Hindus
sports,100,"Sport which uses epees, foils & sabres",fencing
sports,200,Name given to annual competition among U.S. amateur boxers,the Golden Gloves
sports,300,Number of downs allowed in Canadian football to advance the ball 10 yards,3
sports,300,"Because of WWII, these 2 NFL teams combined squads in '43 to become the ""Stegles\""",the Steelers and Eagles
sports,500,Ex-Boston Celtics' star who has refused induction into Basketball Hall of Fame,Bill Russell
inventions,100,He invented the Franklin stove,Ben Franklin
inventions,200,Detection of gamma rays was 1 of the uses for this 1947 instant picture taker,a Polaroid-Land camera
inventions,300,"2,160 people at a time could ride on this at the 1893 Chicago World's Fair",a Ferris wheel
inventions,400,Edison suggested it be used to record phone calls & make clocks talk,the phonograph
inventions,500,"The first patent pool was for this invention by Howe, Hunt & Singer",the sewing machine
mammals,100,"Romans called this African beast a ""tiger horse\""",a zebra
mammals,200,The only flying mammal,a bat
mammals,300,A black panther is really the black version of this cat,a leopard
mammals,400,"Plays dead to escape predators, but one was close friends with an alligator",an opossum
mammals,500,"Weighing 1½ tons per foot, this mammal generates up to 500 H.P. with its tail",the blue whale
"begins with ""l\""",100,"Erich Segal's ""story\""",Love Story
"begins with ""l\""",200,An air bubble tells a carpenter if he's on it,a level
"begins with ""l\""",300,The L in L.P.G.A.,Ladies\'
"begins with ""l\""",400,"A, B, M, P, or Z, for example",letters
"begins with ""l\""",500,It's what bread has & matzo hasn't,leaven
u.s. states,200,Its Mormon founders called it Deseret,Utah
u.s. states,400,"The only state beginning with ""A"" that does not end in ""A\""",Arkansas
u.s. states,600,The only state to touch 4 of the Great Lakes,Michigan
u.s. states,800,1 of 4 states that's officially a commonwealth,"(1 of) Massachusetts, Kentucky, Pennsylvania, Virginia"
5-letter words,200,"Used by a carpenter, a master sergeant, & a dentist",a drill
5-letter words,400,A lady's handbag or something done to lips before a kiss,purse
5-letter words,600,"A police wagon, a rice field, or author Chayefsky","\""paddy""s"
5-letter words,800,"To Hamlet, ""Frailty, thy name is"" this",woman
5-letter words,1000,"In Czech, it's herec; in German, schauspieler; & in Hollywood, usually unemployed",an actor
music,200,"4th note of the musical scale or ""a long, long way to run\""",fa
music,400,"Piano style sprung from the blues, it describes Bette's ""Bugle Boy\""",boogie-woogie
music,600,Tyrolean trick of moving the voice from natural to falsetto,yodeling
music,1900,What we call this singing sans accompaniment:,a capella
music,1000,"Italian for ""first lady"", the leading opera singer in a company",a prima donna
law,200,"A second prosecution for the same offense, or this round",double jeopardy
law,800,"To avoid litigation, this type of insurance or divorce avoids affixing blame",no-fault
law,1000,"While a summons asks nicely, this demands your appearance in court",a subpoena
weather,200,Condition associated with London & pea soup,fog
weather,400,"Mt. Waialeale in Hawaii gets the most, while Calama, Chile, usually gets none",rain
weather,600,Its winds can reach 400 MPH,a tornado
weather,800,Some hygrometers use a human hair to measure this,(relative) humidity
weather,1000,Region near Equator that took the wind out of Sinbad's sails,the doldrums
movie trivia,200,"Actress who spoke the immortal line, ""Love is never having to say you're sorry\""",Ali MacGraw
movie trivia,400,"Mary Poppins' magical, musical tongue-twister",supercalifragilisticexpialidocious
movie trivia,600,"Actor who captained ""the mean machine"" in ""The Longest Yard\""",Burt Reynolds
movie trivia,800,"Movie whose sequel was ""Class of '44\""",The Summer of '42
movie trivia,1000,"This gimmick introduced for the film ""Scent of Mystery"" was something to be sniffed at",Smell-O-Vision
rivers,0,"It carries more water than the longest rivers in Asia, Africa & No. America combined",the Amazon
islands,100,"Owned by tiny Denmark, it's the world's largest island",Greenland
islands,200,"New York's largest, it has more people than 41 of our 50 states",Long Island
islands,300,"Until 1949 a Dutch colony, now the world's most populous island nation",Indonesia
islands,400,"Made up of over 7,000 islands, only Far East country with a Roman Catholic majority",the Philippines
silly songs,100,"To treat it ""you're gonna need an ocean of calamine lotion\""",poison ivy
silly songs,200,"\""She was afraid to come out of the water"" because she wore this scanty outfit",an itsy bitsy teenie weenie yellow polka-dot bikini
silly songs,500,He offered this prescription:,the Witch Doctor
silly songs,400,Herman's Hermits' song about widow whose 8 husbands all had the same name,"\""Henry the Eighth\"""
silly songs,500,"According to Ray Stevens, ""He swings through the trees without a trapeze in his B.V.D.'s\""",Gitarzan
money,100,Currency where you'll find Lincoln's name on front & back,the five-dollar bill
money,200,4 little words carried on all U.S. currency,In God We Trust
money,300,Replaced Adams in the presidency & the Indian on the nickel,Thomas Jefferson
money,400,The only U.S. coin with the Presidential Seal,the fifty-cent piece (the Kennedy half-dollar)
1968,100,South-of-the-border setting of the '68 Olympics,Mexico City
1968,200,First visual effects Oscar went to Kubrick's look 33 years into the future,2001: A Space Odyssey
1968,300,"Camelot ""ended"" when Jackie married him",Aristotle Onassis
1968,400,He broke S. Africa's race barrier by transplanting black man's heart into white body,Christiaan Barnard
1968,500,"After 11 months in captivity, crew of this ship was released by N. Koreans",the Pueblo
trivia,100,Rubber is an ingredient in this type of chewing gum,bubble gum
trivia,200,Easter creature created by Gene Autry in '55 hit record,Peter Cottontail
trivia,300,"Though a northern state, N.J. didn't abolish it until 1860",slavery
trivia,400,U.S. coin 97.6% zinc,the penny
trivia,500,Ohio City named for an ancestor of the 24th president,Cleveland
british history,200,"Though historians debate it, she's called ""The Virgin Queen\""",Elizabeth I
british history,2000,"Of Henry VIII's six wives, the number that lost their heads over him",2
inventions,200,"\""The mother of invention\""",necessity
inventions,400,"Country credited with invention of pasta, porcelain, & paper",China
inventions,600,"Tissue originally used as a WWI gas filter, but now literally something to sneeze at",Kleenex
inventions,800,"1st developed for the blind, they've become the most widely used business machine",the typewriter
inventions,1000,Printing press inventor associated with the world's most valuable book,Gutenberg
women authors,200,"Judith Krantz ""princess"" who reigned in novel & mini-series",Princess Daisy
women authors,400,"Playwright Edward Albee asked ""Who's afraid of"" this respected British novelist",Virginia Woolf
women authors,600,Colleen McCullough's Australian saga,The Thorn Birds
women authors,800,"Author, columnist, & TV wit who said, ""Housework, if you do it right, can kill you\""",Erma Bombeck
women authors,1000,"Long-time companion of Dashiell Hammett, she was played in ""Julia"" by Jane Fonda",Lillian Hellman
baseball,200,A 1939 college baseball game was the first sports event shown on this medium,television
baseball,400,"The Metropolitan Museum of Art has 200,000 of them",baseball trading cards
baseball,2000,1 of 3 Major League Baseball teams with state rather than city names,"(1 of) California Angels, Texas Rangers, Minnesota Twins"
baseball,800,"Ironically, ex-con Ron LeFlore led the N.L. in these in 1980",stolen bases
baseball,1000,"To help their owner pay off gambling debts, the 1920 Red Sox sold him to the Yankees",Babe Ruth
sculpture,200,"His only signed work is the ""Pieta"" in the Vatican",Michelangelo
sculpture,400,A gold statue of Prometheus towers over the ice rink of this N.Y.C. landmark,Rockefeller Center
sculpture,600,"\""Disarming"" statue unearthed by peasant of Greek island of Melos in 1820",the Venus de Milo
sculpture,800,The Berlin museum is home to the famous bust of this Egyptian queen,Nefertiti
sculpture,1000,"Though it represents a woman, his 5-story Chicago structure has been called a baboon",(Pablo) Picasso
"\""nick"" names",200,"You can call me ""merry"" or you can call me ""hairy"" but you doesn't have to call me ""Santa\""",Saint Nicholas (or Saint Nick)
"\""nick"" names",400,When John Wayne always arrived with the cavalry,in the nick of time
"\""nick"" names",600,"Things are never ""hoop"" less for this Manhattan team",the New York Knicks
"\""nick"" names",800,He was Eddie Murphy's partner for 48 hours,Nick Nolte
"\""nick"" names",1000,"Gambler who paid the ""Brice"" for marrying a famous Fanny",Nick Arnstein
the solar system,0,Only 1 of 9 planets not named for a Greek or Roman mythological figure,the Earth
world leaders,100,"During '80s hostage crisis, dart boards bearing his face were a big seller",Ayatollah Khomeini
world leaders,200,"Britain's first female P.M., her popularity soared after Falklands war",Margaret Thatcher
world leaders,300,Ronald Reagan was also president of this union,the Screen Actors Guild
world leaders,400,D'Aubisson claimed Duarte fixed his election win in this country,El Salvador
world leaders,500,Olympic pullout was ordered by this successor to Andropov,Chernenko
august,100,"492 years ago on Aug. 3rd, he set sail across the Atlantic",Christopher Columbus
august,500,"Russia, France & Germany entered WWI in August of this year",1914
sports,100,"Game where ""dribbling"" is ""offensive\""",basketball
sports,200,From early practice of pitcher facing west comes this baseball term for lefty,southpaw
sports,300,Football's imaginary plane which neither team may cross until the ball is snapped,the line of scrimmage
sports,400,"World's fastest sport, free-fall speeds of 614 MPH have been recorded in this",skydiving
sports,500,\'50s middleweight champ some say was pound-for-pound the best boxer ever,Sugar Ray Robinson
hot movies,100,Irwin Allen's tall tale that went up in smoke,The Towering Inferno
hot movies,200,Poitier & Steiger made sparks fly in this '67 Oscar winner,In the Heat of the Night
hot movies,300,The male stars tested their disguises for this '59 film by visiting studio ladies' room,Some Like it Hot
hot movies,400,Words were heated when Truffaut filmed this Bradbury novel,Fahrenheit 451
hot movies,500,1st movie that newlyweds Newman & Woodward made together,"The Long, Hot Summer"
trivia,100,"They ""rush in where angels fear to tread\""",fools
trivia,200,"Some of the badges she can earn are: Horse Lover, Dabbler & Ms. Fix-it",a Girl Scout
trivia,1200,"Hemingway wrote the book, Rogers & Parton sang the song:","\""Islands In The Stream\"""
trivia,400,"If the item is colored yellow & you use a red dye, the resulting color is this",orange
trivia,500,Filing an IRS form 4868 gets you a 4-month extension from this date,April 15
the 20th century,200,Where Sally Ride took her famous ride,on the Space Shuttle
the 20th century,400,Time barrier shattered by runner Roger Bannister in 1954,the four-minute mile
the 20th century,1500,"In Dec., 1941, Representative Jeannette Rankin cast the only dissenting vote on this issue",the declaration of war against Japan over Pearl Harbor
the 20th century,800,"His masterpiece was painted as a protest against the bombing of the Spanish town ""Guernica\""",Pablo Picasso
the 20th century,1000,"In 1939, this scientist wrote FDR a letter explaining that an atomic bomb could be built",Albert Einstein
broadway,200,"She was ""The Miracle Worker"" for Patty Duke's Helen Keller",Anne Bancroft
broadway,400,"Lerner & Loewe's ""One Brief Shining Moment"" which ran from Dec. 3, '60 to Jan. 5, '63",Camelot
broadway,600,"His 1st stage hit was ""I Remember Mama"" but he's better remembered for shouting ""Stella!\""",Marlon Brando
broadway,800,Winner of Tony & Oscar for royal role he's been identified with since '51,Yul Brynner
broadway,1000,"Rogers & Hammerstein's ""Away We Go"" ran a record-breaking 2,248 performances under new name",Oklahoma!
travel,200,"This necessary document cost $10 in 1980, but is now $35",a passport
travel,400,Non-sexist name for a stewardess,a flight attendant
travel,600,A vaccination is no longer required since this disease is eradicated,smallpox
travel,800,"Tags for luggage headed for this airport appropriately read ""LAX\""",Los Angeles (International)
travel,1500,Ship passengers are greeted & dunked by King Neptune 1st time they cross this,the Equator
american indians,200,Device Indians smoked as sign of friendship,a peace pipe
american indians,400,They symbolize family trees of N.W. Indians,totem poles
american indians,600,"To keep Indians out, Dutch settlers built a wall across this New Amsterdam street",Wall Street
american indians,800,Runaway slaves used to hide with this tribe in Florida swamps,the Seminoles
mammals,200,"Alphabetically, it's #1",the aardvark
mammals,400,"Noel Coward song says only ""mad"" ones ""go out in the midday sun\""",dogs
"the ""pits\""",200,Where Pirates steal bases,Pittsburgh
"the ""pits\""",400,Asphalt bog that tourists log in L.A.,the La Brea Tar Pits
"the ""pits\""",600,Poe's tale of torture in a Spanish castle,The Pit and the Pendulum
"the ""pits\""",800,"Shaky lady of ""Oh Susanna"" fame",ZaSu Pitts
"the ""pits\""",1000,Both cyanide & laetrile are an extract of them,apricot pits
business & industry,0,"Automaker that introduced the alternator, power steering & electric ignition",Chrysler
education,100,Traditional color of the one-room schoolhouse,red
education,200,"First American home of higher education, it educated JFK",Harvard
education,300,Brown v. Board of Education ruling outlawed this,segregated schools
education,400,Brooke shields recently had her Triangle Club Revue debut at this Ivy League college,Princeton
education,500,A progressive preschool program was named for this Italian woman,Maria Montessori
trends,100,French crescent rolls now stuffed with everything from Spinach to chocolate,croissants
trends,200,"Inspired by Spielburg hit, these dolls come both cuddly & creepy",Gremlins
trends,300,Sought-after Canadian board game that places mind over minutia,Trivial Pursuit
trends,400,"To use one, stick your floppy in your disk drive & boot",your computer
trends,500,Swimwear that lets you tan all over without taking it all off,the unsuit
u.s. history,100,"Planned under Eisenhower, invasion of this Caribbean island failed under Kennedy",Cuba
u.s. history,1200,"Episode in history this song is associated with:  ""Once I built a railroad, I made it run Made it race against time...\""",the Great Depression
u.s. history,300,"From 1836-45, this state was an independent country",Texas
u.s. history,400,"In '34, LA gov. known as ""Kingfish"" proposed guaranteed income of $5,000 per family",Huey Long
u.s. history,500,Many consider his appointment as Chief Justice in 1801 most important appointment in U.S. history,John Marshall
the comics,200,This bow-tied redhead's been going to Riverdale High for over 40 years,Archie Andrews
the comics,300,"Walt Kelly character who 1st said, ""We ave met the enemy & he is us\""",Pogo
the comics,400,"Bratty bros. whose German name means both ""hangover"" & ""the yowling of cats\""",the Katzenjammer Kids
the comics,500,Peanuts' Schroeder celebrates it every December 16,Beethoven's birthday
the home,300,Tuber that soaks up excess salt when added to your stew,the potato
world series,100,"It took them 65 yrs. to win for Brooklyn,, only 2 to win for L.A.",the Dodgers
world series,200,"5 home runs in '77 Series, 3 in 1 game, earned him nickname ""Mr. October\""",Reggie Jackson
world series,300,"Played in the most World Series (14), all for the Yankees, & is now their manager",Yogi Berra
world series,400,"Team that threw Series in 1919 ""Black Sox"" scandal",the Chicago white Sox
world series,500,"Though they'd never before finished higher than 9th, amazingly they won the '69 Series",the New york Mets
types of government,200,"State ruled by a king, queen or emperor",a monarchy
types of government,400,"From the Greek, it means ""the people rule\""",a democracy
types of government,600,"According to Marx, under this system, government is supposed to wither away",communism
types of government,800,The one who's in charge under anarchy,no one
types of government,1000,"In a theocracy, those thought to be his representatives rule",God
geography,200,"World's longest mountain chain, stretching 4,500 miles across South America",the Andes
geography,400,1 of 3 countries with territory on 2 continents,"(1 of) Turkey, Russia or Egypt"
geography,600,Direction you generally travel in sailing up the Nile,South
geography,800,"\""Mexican"" region that' also contains parts of  Guatemala and nearly all of Belize",the Yucatan
geography,1600,"\""From the halls of Montezuma to the shores of Tripoli"" refer to these 2 countries",Mexico & Libya
tv trademarks,200,Keeps a cool head thanks to his Mohawk hairdo,Mr. T
tv trademarks,400,"Before he was grounded, Tattoo announced its arrival  every week",de plane
tv trademarks,600,Jim Rockford's beach home,mobile home or trailer
tv trademarks,800,his easy chair traveled from Queens to the Smithsonian,Archie Bunker
tv trademarks,1000,The loser of the week was the winner of Dick & Dan's digital appendage,the Fickle Finger of Fate Award
literature,200,"She found things ""curiouser & curiouser"" in Wonderland",Alice
literature,1000,"He gave us his cockeyed world in ""My world & Welcome to It\""",Thurber
potent potables,200,"It makes a Black Russian ""white\""",cream
potent potables,400,A sprinkle of salt & slice of lime traditionally accompany it,tequilla
potent potables,600,Cartoon critters who share their name with holiday rum & eggnog mix,Tom & Jerry
potent potables,800,The liquid you use less of to make your martini dry,vermouth
potent potables,1000,A wine's fragrance,bouquet
chemistry,800,"World's cheapest metal, it's an essential element in the blood",iron
chemistry,1000,"After oxygen, this element associated with computer chips is the most common in the earth's crust",silicon
mathematics,0,The number of zeros in 1 trillion,12
presidents,100,"He held office ""4 score & 7 years"" after founding of our country",Abraham Lincoln
presidents,200,"1st president to win Nobel Peace Prize, though he ""carried a big stick\""",Theodore Roosevelt
presidents,300,7 of our 1st 12 were from this state,Virginia
presidents,500,"The only 2 presidents born in Texas, they held office only 3 years apart",Lyndon Johnson & Dwight Eisenhower
presidents,500,Portly president who set precedent by throwing out season's 1st ball,William Howard Taft
television,100,Theodore Cleaver's nickname,Beaver
television,200,Falk's famous fumbler,Columbo
television,300,"Series in which Ted Danson doesn't touch liquor, but fondles Shelley Long",Cheers
television,400,"ABC's ""Iran Reports"" led to creation of ""Nightline"" with him as host",Ted Koppel
television,500,"Paul Anka's been collecting royalties for this for over 5,700 nights",the Tonight Show theme
"starts with ""h\""",100,Hawaiian hip heaving,Hula
"starts with ""h\""",200,Half the earth,hemisphere
"starts with ""h\""",300,"A football ""conference"", or to gather together for warmth",huddle
"starts with ""h\""",400,Bruce Banner's bulky bad side,the Hulk
"starts with ""h\""",500,The measure of a horse,hand
potent potables,100,"A dessert wine, or the left side of a ship",port
potent potables,200,When water gets gassed,carbonation
potent potables,300,Ancient Greek law made it illegal not to do this during festival of Dionysus,to get drunk
potent potables,400,Its name comes from legend that first one was stirred with a rooster feather,cocktail
potent potables,500,25.6 ounces,a fifth
bodies of water,100,"Originally at Lewiston, NY, this falls has over the years moved 7 times upstream",Niagara Falls
bodies of water,200,"While Thatcher looks over Parliament, Parliament looks over this",the Thames
bodies of water,300,The dam you need to make Lake Mead,Boulder/Hoover Dam
bodies of water,400,Only one of the 5 Great Lakes entirely in U.S.,Lake Michigan
bodies of water,500,You can bet on the banks of this California-Nevada lake,Lake Tahoe
people,400,Baby Andrew Castiraghi's royal mom & Princess Stephanie's sister,Princess Caroline
people,500,Type of fiction penned by presidential offspring M. Truman & E. Roosevelt,mystery books
american indians,800,"He, not Sitting Bull, led the Indians at Custer's Last Stand",Chief Crazy Horse
american indians,1000,"Numbering some 140,000, this Southwest tribe is America's largest",Navajo
chemistry,1000,"\""Plumbum"" in Latin, Ancient Rome's plumbing was made of this heavy metal",lead
proverbs,400,"According to Harry Truman, what you should do ""if you can't stand the heat\""",get out of the kitchen
proverbs,600,"It's better ""than not to have loved at all\""",to have loved and lost
proverbs,800,"Lord Acton said it ""tends to corrupt\""",(absolute) power
proverbs,1000,"Santayana said, ""Those who cannot remember the past are condemned to"" do this",repeat history
world war i,200,"\""Lafayette, we are here"", referred to Americans landing in this country",France
world war i,400,This exotic-dancer-turned-spy was executed by the French in 1917,Mata Hari
world war i,1000,The German U-boats were this type of craft,submarine
world war i,800,"Early leadership of an all-black regiment earned him nickname ""Black Jack\""",John J. Pershing
world war i,1000,French reinforcements came to Battle of the Marne using this form of transport,taxis (taxicabs of Paris)
sports,200,American golfers claim they hit 111 of them each day,holes-in-one
sports,400,Earl Anthony & Don Carter are kingpins in this sport,bowling
sports,600,"Didn't float like a butterfly or sting like a bee, but he knocked out his teeth & Muhammad Ali",Leon Spinks
