category,value,question,answer
sports,800,"Originally ""mintonette"", it was first played with a basketball & a rope stretched across court",volleyball
sports,1000,"Didn't drink, smoke, or ""lift anything heavy"" and played hockey until 50",Gordie Howe
trivia,800,"Nursery rhyme that can be played on touch-tone phone by dialing 3212, 333, 222, 333","\""Mary Had a Little Lamb\"""
trivia,3000,"When spelling numbers, lowest one to contain the letter ""B\""",billion
world cities,0,It's the most populous city in the Western Hemisphere,Mexico City
bridges,100,You can't sell Lake Havasu the Brooklyn Bridge; it already bought this one,London Bridge
bridges,200,Marin County's chief commuter route to S.F.,Golden Gate Bridge
bridges,300,"Colloquial name of the Queensborough Bridge & real name of the song ""Feeling Groovy\""",59th Street Bridge
singers & dancers,100,"He spiced up his dance steps with ""Ginger\""",Fred Astaire
singers & dancers,200,"\""The King of Rock 'N' Roll\""",Elvis Presley
singers & dancers,300,"To their cheering fans, ""V"" is for ""Victory Tour\""",The Jacksons
singers & dancers,400,"She took over for Anne Bancroft, who was originally cast to play Fanny Brice",Barbra Streisand
singers & dancers,500,"He danced with Dorothy in Oz but was ""Once in Love with Amy\""",Ray Bolger
"\""fridays\""",100,Daniel Defoe's 2 men alone on an island,Robinson Crusoe & Friday
"\""fridays\""",200,The anniversary of the crucifixion,Good Friday
"\""fridays\""",300,"He always asked for ""Just the facts, Ma'am\""",Sgt. Joe Friday
"\""fridays\""",400,Mad killer Jason finally gets his in this film's final chapter,Friday the 13th
"\""fridays\""",500,\'78 disco film which featured Donna Summer,Thank God It's Friday
1959,100,"With this musical premiere, ""The Hills Came Alive\""",The Sound of Music
1959,200,Who Eddie left to marry Liz,Debbie Reynolds
1959,300,"Shoe-pounding leader scandalized by high kicks in ""Can-Can\""",(Nikita) Khrushchev
1959,400,Uris #1 best-seller about Jewish refugees in emerging Israel,Exodus
1959,500,Became 1st major American city with a black majority,"Washington, DC"
holidays,100,"\""The Wearing of the Green"" on March 17th",St. Patrick's Day
holidays,200,"In Canada, it's the 2nd Monday in October; in U.S., the 4th Thursday in November",Thanksgiving Day
holidays,300,"In '82, Americans bought over 1 billion of these cards with heart",St. Valentine's Day
holidays,400,"This English holiday has masked children begging ""A penny for the guy\""",Guy Fawkes Day
holidays,500,Celebration of the Jewish victory over the Syrians in 165 B.C.,Hanukkah
cartoons,100,"Bullwinkle's ""arch"" enemy with a name derived from Russian czar, Boris Godunov",Boris Badenov
cartoons,200,"With 99 men & only 1 girl, no wonder they're blue every Saturday morning",the Smurfs
cartoons,2000,This sound is his trademark:,Woody Woodpecker
vice-presidents,200,1st woman nominated as V.P. by a major political party,Geraldine Ferraro
vice-presidents,400,"Though V.P. & president, he was never elected to either post",Gerald Ford
vice-presidents,600,He was the 1st vice-president,John Adams
vice-presidents,3500,Last to serve 2 complete terms,Richard Nixon
vice-presidents,1000,V.P. who also served as ambassador to U.N. & director of the C.I.A.,George Bush
astrology,800,"Sign that shares name with Hitchcock film & torrid ""tropic\""",Capricorn
astrology,1000,Only soldier given full-time duty as astrologer during WWII,Sydney Omarr
conquerors,200,"Now thought to be a dwarf, this ""Scourge of God"" was the most feared Hun of all",Attila
conquerors,400,Pagan Scandinavians who attacked western Europe & reached America before Columbus,the Vikings
conquerors,600,"Macedonian who lamented there was nothing left to conquer, he died in Babylon at 33",Alexander the Great
conquerors,800,"Conquistador of Valencia, his Moorish foes called him ""El Sayyid"" meaning ""The Lord\""",El Cid (Rodrigo Diaz)
conquerors,1000,"Founder of Holy Roman Empire in 800 A.D., read Latin but never learned to write it",Charlemagne (Charles the Great)
movie talk,200,"Nonspeaking actor in background role, or paperboy's cry",extra
movie talk,400,Director's order to actors to begin playing a scene,"\""Action!\"""
movie talk,600,"French Riviera's film festival ""capital\""",Cannes
movie talk,800,"As newest movie rating, it cautions ""Special guidance for attendance of children under 13\""",PG-13
movie talk,1000,"Previews of coming attractions, they used to follow the main feature",trailers
palindromes,200,High time of day for Gary Cooper,noon
palindromes,400,"Gary Burghoff's role in ""M*A*S*H\""",Radar
palindromes,600,A scout performs a good one every day,deed
palindromes,800,Palindromic nickname for parents,mom and pop/dad
palindromes,1000,3-word greeting in the Garden of Eden,"\""Madam, I'm Adam\"""
travel & tourism,0,This country draws the most American tourists each year,Canada
spain,400,"Mustachioed painter who could be knighted ""Sur Real\""",Salvador Dalí
spain,500,"Don Quixote's creator, he was the real ""Man from La Mancha\""",Don Miguel de Cervantes
trios,100,"Education's ""3 R's\""","reading, 'riting & 'rithmetic"
trios,200,"Red, blue & yellow pigments",the primary colors
trios,300,The rub-a-dub guys,"three men in a tub (butcher,the baker & the candlestick maker)"
trios,400,"For a troika, you'd put this behind 3 horses",a sleigh
trios,500,3 rulers ruling,a triumvirate
1953,100,Manager Casey Stengel considered retiring until they won 5th-straight World Series,the Yankees
1953,200,"Hillary & Tenzing were the 1st to go there, but only stayed 15 minutes",the summit of Mt. Everest
1953,300,"Sang ""Diamonds are a Girl's Best Friend"", then married a baseball star",Marilyn Monroe
1953,400,"Chief Justice appointed by Eisenhower, he served until the Nixon era",Earl Warren
1953,500,"Now nation's best-selling magazine, 1st cover featured Lucy & her baby",TV Guide
fast food,400,"T. Jefferson popularized this French side-dish, now America's favorite vegetable",French fried potatoes
fast food,500,Gable taught Colbert how to do it; now even Emily Post says it's correct,dunking doughnuts
"\""toasts\""",100,Sauteed egg-dipped bread,French toast
"\""toasts\""",200,Campfire confection,toasted marshmallows
"\""toasts\""",300,"Original name of ""The Ed Sullivan Show\""",Toast of the Town
"\""toasts\""",400,"\""Rank"" of George Jessel",Toastmaster General
"\""toasts\""",500,"Named for an Australian soprano, it's thin, crisp bread",Melba toast
oscar songs,100,"Only Oscar winner sung by a cricket, it's Disney's theme","\""When You Wish Upon a Star\"""
oscar songs,200,"She sang '80's ""Fame"" & '83's ""What a Feeling\""",Irene Cara
oscar songs,300,\'38 winner that became Bob Hope's theme song,"\""Thanks for the Memory\"""
oscar songs,500,1960 song named for day Melina Mercouri rested:,"\""Never On Sunday\"""
oscar songs,500,"This 1st winner, from ""Gay Divorcee"", is also a Lincoln luxury car","\""The Continental\"""
economics,200,Colloquial term for current president's economic policies,Reaganomics
famous quotes,200,"Dickens' character known for saying ""God bless us every one!\""",Tiny Tim
famous quotes,400,"You bet your life he believed ""A man is as young as the woman he feels\""",Groucho Marx
famous quotes,600,"Dumas quote translated from ""Tous pour un, un pour tous\""","\""All for one, one for all\"""
famous quotes,800,Someone somewhere in the country says it before David Hartman & Joan Lunden do,"\""Good Morning, America\"""
famous quotes,1000,"\'36 Olympian who said ""I came along when the black American needed an image\""",Jesse Owens
drama,200,"Because 1st was named Thespis, they're known as thespians",actors
drama,400,"Wrote for Sgt. Bilko before fathering ""The Odd Couple\""",Neil Simon
drama,600,Matinee idol whose familiarity with Ford's Theatre let him pass through security there,John Wilkes Booth
drama,800,"He planted ""The Cherry Orchard"" & hatched ""The Sea Gull\""",Chekov
drama,1000,"Sophocles' ""complex tragedy\""",Oedipus Rex
birds,200,"Cuckoo family-member Geococcyx Californianus ; goes ""Beep beep"" in cartoons",a roadrunner
birds,400,Bird named after bright red robes of a Roman Catholic clergyman,a cardinal
birds,600,"While ostriches lay the largest eggs, these birds lay the smallest",a hummingbird
birds,800,"Member of  India's starling family, famous for ability to mimic voices",a myna
birds,5000,"With both eyes facing forward, it has greatest range of binocular vision in birds",the owl
white house,200,It wasn't until 1818 that it was painted this color,white
white house,400,East lawn Easter tradition,rolling Easter eggs
white house,600,FDR added one indoors as a therapeutic aid,a swimming pool
white house,800,"Instead of bowing, Jefferson the libertarian encouraged this form of address",shaking of hands
white house,1000,His inaugural bash became a brawl when his backwoods pals vandalized the White House,Andrew Jackson
sports trivia,200,It begins a boxer's round or starts Pavlov's dog salivating,a bell
sports trivia,400,"In swimming, a race without a compulsory stroke",freestyle
sports trivia,600,"Throughout his NBA career, this star known as ""The Stilt"" never fouled out",Wilt Chamberlain
sports trivia,800,Won gold medal for rowing in '24 Olympics but better known as baby doctor,Benjamin Spock
sports trivia,1000,Mary Queen of Scots is said to have been 1st woman to play this sport,golf
u.s. presidents,0,"In the 1860 election for his 1st term, more Americans voted against him than for him",Abraham Lincoln
u.s. geography,100,Much of this largest Louisiana city is below sea level,New Orleans
u.s. geography,200,The leading dairy products state,Wisconsin
u.s. geography,500,This state's coastline is 2nd in length to Alaska's,Florida
baseball,100,"To celebrate winning the '83 World Series, the Baltimore Orioles popped 240 bottles of it",champagne
baseball,200,Johnny Vandeer Meer is the only man to have ever pitched 2 of them consecutively,no-hitters
baseball,300,Brand of bats made in Kentucky; also describes Muhammad Ali,Louisville Slugger
baseball,400,"In '51 playoff he hit ""the Shot Heard 'Round the World\""",Bobby Thomson
baseball,500,"For years this Southerner was ""the voice of the Yankees\""",Mel Allen
legends,100,"Gift giver named from the Dutch ""Sinter Klaas\""",Santa Claus
legends,200,John Chapman was the real name of this wandering fruit tree planter,Johnny Appleseed
legends,300,The man whom Miles Standish asked to have a chat with Priscilla,John Alden
legends,400,"On July 4, 1776, he wrote his signature large so King George could read it without glasses",John Hancock
legends,500,"English explorer who made smoking fashionable, he smoked before his own execution in 1618",Sir Walter Raleigh
generals,400,"\""Old Blood & Guts"", he was tank commander in both World Wars",Patton
generals,500,"This Civil War general wrote ""Ben-Hur\""",Lew Wallace
trivia,100,Nickname of Harry Lillis Crosby,Bing
trivia,200,Term 1st coined to describe combination of smoke & fog,smog
trivia,300,"It was claimed of this product ""a little dab'll do ya\""",Brylcreem
trivia,400,"Originally term to describe shed built onto a building, it now means expensive unit on the roof",a penthouse
trivia,500,Where Longfellow's arrow fell to earth,I know not where
"\""can"" it",100,A dance dance from France France,the can-can
"\""can"" it",200,Edgar's daughter who isn't a dummy,Candice Bergen
"\""can"" it",300,They'll eat your heart out,cannibals
"\""can"" it",400,Terry Southern's little gumdrop,Candy
"\""can"" it",500,Poem part,canto
english literature,200,"If Orwell's tale were true, year Big Brother would be watching you",1984
english literature,400,"\""Treasure Island""'s peg-legged pirate",Long John Silver
english literature,600,"Of Bacon & Lamb, the one who wrote ""A Dissertation upon Roast Pig\""",(Charles) Lamb
english literature,800,"Shakespeare's first comedy, though it's said to be originally titled ""The Historie of Error\""",The Comedy of Errors
english literature,1000,"Its sequels were ""Men against the Sea"" & ""Pitcairn's Island\""",Mutiny on the Bounty
insects,1000,Balls of naphthalene are protection against them,moths
political quotes,600,"In the '80 campaign, he coined the term ""voodoo economics\""",George Bush
political quotes,800,"Acid-tongued V.P. who said, ""Some newspapers dispose of their garbage by printing it\""",Spiro Agnew
political quotes,1000,"2-time pres. candidate who said, ""Eggheads unite, you have nothing to lose but your yolks\""",Adlai Stevenson
hitchcock,200,Film where nutty Norman Bates was a real cut-up,Psycho
hitchcock,400,"Called ideal Hitchcock hero, he starred in ""Notorious"", ""Suspicion"" &""North by Northwest\""",Cary Grant
hitchcock,600,"Before playing ""Perry"", he was killer James Stewart saw through the  ""Rear Window\""",Raymond Burr
hitchcock,800,"His first American movie with Fontaine & Olivier, in which title character never appears",Rebecca
hitchcock,1000,"This movie wasn't his best, but ""Que Sera, Sera\""",The Man who Knew Too Much
namesakes,200,Stuffed toy named for Pres.Roosevelt,a teddy bear
namesakes,400,Thinned down perfume first made in this W. German city,Cologne
namesakes,600,"From the Civil War general who believed they raised troops' morale, it's slang for prostitute",hooker
namesakes,5000,Wild West gambling game named for kings on old playing cards,Faro
namesakes,1000,"An unrealistic optimist, from heroine of Eleanor Porter novel",a Pollyanna
medicine,800,"British sailors were named ""Limey"" for the fruit they ate to ward off this disease",scurvy
medicine,1000,"From Latin ""to please"", medicine given just to humor a patient",a placebo
the calendar,0,Number of leap years between 1985 & 2001,4
state capitals,100,"Located 15 miles from its namesake, it was founded by Brigham Young",Salt Lake City
state capitals,200,"Freddie Cannon's ""Tallahassee Lassie"" would be from this state",Florida
state capitals,300,Southwest capital named for mythological self-immolating bird,Phoenix
state capitals,400,It was also capital of the Confederacy,"Montgomery (or Richmond, Virginia)"
state capitals,500,Only state capital named for a biblical figure,"St. Paul, Minnesota"
television,100,ABC telecast 180 hours of this summer '84 event,the Olympics
television,200,Game show that would fall between the dating & anniversary games,The Newlywed Game
television,300,Dan Tana's turf,Vegas
television,400,The girls on this series graduated from Eastland School to Langley College,The Facts of Life
television,500,Bilko's private Harry Speakup or Daktari's Judy,a chimp
"\""shells\""",100,Tongue twister about lady who peddles pukas on the beach,"\""She Sells Sea Shells by the Seashore\"""
"\""shells\""",200,"Where Peter, Peter kept his wife",in a pumpkin shell
"\""shells\""",400,Condition akin to combat fatigue,shell-shocked
"\""shells\""",500,Drinking it would give you a terrible end but a lovely finish,shellac
former occupation,100,Former N.Y. lawyer who stated his case on Monday Night Football for 13 years,Howard Cosell
former occupation,200,"Our last president without a bachelor's degree, once a Kansas City haberdasher",Harry Truman
former occupation,300,Altar boy & seminarian who became infamous Soviet dictator,Stalin
former occupation,400,"Former Washington Senators' pitching prospect, now long-time Caribbean dictator",Fidel Castro
former occupation,500,"While observing ""God & Man at Yale"", this conservative spokesman taught Spanish there",(William F.) Buckley (Jr.)
twins,400,Astrological name for starry twins Castor & Pollux,Gemini
twins,500,Twin brothers who brought precious metal to America's Olympic ski team,(Phil & Steve) Mahre
classical music,200,Designers of this instrument were Cristofori & Steinway,piano
classical music,400,"\""Timely"" name of Chopin's D-flat major waltz of Opus 64","the ""Minute Waltz\"""
classical music,600,"A string quartet is usually made up of 2 violins, a viola & this",cello
classical music,800,"When he first heard this wind instrument, Handel said, ""Thank heavens it hath no smell\""",bassoon
classical music,1000,"On radio he was the ""maestro"" of the NBC Symphony Orchestra",Arturo Toscanini
politics,1000,"3rd party, its presidential candidates included Eugene Debs & Norman Thomas",Socialist
famous quotes,200,"Aesop advised not to ""count your chickens"" then",not to count your chickens before they're hatched
famous quotes,2000,"Whittier wrote, ""For all sad words of tongue or pen, the saddest are these\""",it might have been
sports shifts,200,Oakland is still fighting to get this team back,the L.A. Raiders
sports shifts,400,"When Aaron signed they were in Boston, but he played in Milwaukee & Atlanta",the Braves
sports shifts,600,"Minnesota's, not L.A.'s terrain gave this basketball team its aquatic name",the Lakers
sports shifts,800,"To maintain their baseball rivalry, both left New York in 1957",the Dodgers & the Giants
sports shifts,1000,"Under cover of darkness, they left Baltimore for Indianapolis",the Colts
language,200,Predominant language in Canada's Quebec province,French
language,400,"The New Testament was originally written in Koine, a common dialect of this language",Greek
language,1500,Language in which this #1 song of 1958 was sung,Italian
language,800,"Due to regional disputes, India has retained this as an official language",English
language,1000,The only Romance language from an East Bloc country,Romanian
world geography,0,It has more people than all the other South American countries combined,Brazil
the '40s,100,"In '45, a U.S. bomber crashed into this N.Y. landmark's 79th floor",the Empire State Building
the '40s,200,Rudy Vallee recorded it in '31 & Sam played it again in Casablanca,"\""As Time Goes By\"""
the '40s,300,Body builder Charles Atlas offered to build up the physique of this Indian leader,Mahatma Gandhi
the '40s,400,"German for ""lightning war\""",blitzkrieg
boats,100,Venice's taxis,gondolas
boats,200,A small boat used to move big boats,tug
boats,300,"A flat-bottomed boat propelled by a pole, or a 4th down football play",punt
ballet,100,"Part of body used to dance on ""pointe\""",toe
ballet,200,Tchaikovsky's fowl aquatic ballet,"\""Swan Lake\"""
ballet,300,"New York City Ballet's ""Mr. B.\""",George Balanchine
ballet,400,The arrangement of dance movements,choreography
ballet,500,Formerly England's Sadler's Wells Ballet,the Royal Ballet
"\""march"" on",100,Definitely not Caesar's time of month,the ides of March
"\""march"" on",200,"Founded by F.D.R. in 1938, it works to prevent birth defects",the March of Dimes
"\""march"" on",300,"Way of saying ""loony as a spring rabbit\""",mad as a March hare
japan,100,Raw fish dish,sushi
japan,300,"Known originally for motorcycles, this Japanese company now operates an auto plant in Ohio",Honda
japan,400,The ancient art of paper folding,origami
japan,500,"Western name for towering tsunamis, clocked at up to 500 MPH",tidal waves
tv trivia,100,"Jim Henson coined this word from a combination of ""marionette"" & ""puppet\""",muppet
tv trivia,200,David Janssen's private eye with the last name Orwell,Harry O
tv trivia,300,Yancy's fancy pistol,derringer
tv trivia,400,Cook Graham Kerr was known as this,The Galloping Gourmet
tv trivia,500,"From the Swahili word for ""doctor"", the show featured a cross-eyed lion",Daktari
colonial america,200,"N.Y.C.'s ""Capital of Black America"", named by Dutch for a city in Holland",Harlem
colonial america,400,"Founded by Wm. Penn, it became 2nd largest city in British Empire",Philadelphia
colonial america,600,"Gov. Peter Stuyvesant's Manhattan farm, now the city's skid row",the Bowery
colonial america,800,"\""Pennsylvania Dutch"" settlers came from there",Germany
colonial america,1000,Slavery was at first banned in this southern colony founded by Oglethorpe,Georgia
democrats,400,"Ex-astronaut who's had ""The Right Stuff"" to win 2 Senate terms",John Glenn
democrats,600,"Behatted 3-term N.Y. congresswoman, still active in feminist movement",Bella Abzug
democrats,800,"For the past 8 years, John D. Rockefeller IV has been gov. of this state",West Virginia
democrats,1000,Senator who tried for '84 pres. nomination was once sued by Adolf Hitler,Alan Cranston
anatomy,600,The sclera; Bunker Hill patriots were ordered not to fire before seeing it,the whites of their eyes
anatomy,800,Peristalsis lets you do this while standing on your head,swallowing
musical numbers,200,These working numbers don't measure up to Dolly Parton,"\""9 to 5\"""
musical numbers,400,Janis Ian learned the truth at this tender age,"\""At Seventeen\"""
musical numbers,600,"Hall & Oates played music, not basketball, thus way","\""One on One\"""
musical numbers,800,"Total of ""The Freshmen"" & ""The Preps\""",8
religion,400,Eastern rite of Christianity or oldest branch of Judaism,Orthodox
religion,600,Denomination Reverend Jesse Jackson is minister of,Baptist
religion,1000,Mormons believe they're Amer. Indians; others say they're Japanese or Anglo-Saxons,the 10 lost tribes of Israel
religion,1000,Belief in a deity is not part of its 8-fold path to nirvana,Buddhism
the armed services,0,The last military branch to be established,United States Air Force
africa,100,Central Africa's short people,the Pygmies
africa,200,S. Africa's form of segregation,apartheid
africa,300,Tanganyika & Zanzibar joined to form this country,Tanzania
africa,400,"Africa's largest fresh-water lake, it's main source of the Nile",Lake Victoria
africa,500,Kenyatta was leader of this bloody movement to end British rule in Kenya,the Mau Maus
food,100,"When you step on these, they let out a little ""wine\""",grapes
food,200,"Satanic term for food prepared with strong seasoning, as of eggs or ham",devilled
food,300,French term for meat served in its own juice,au jus
food,400,"Found in rye bread, these seeds are also flavoring of kummel liqueur",caraway seeds
food,500,The thymus & pancreas of young calves are sources of this meat,sweetbreads
first aid,100,Any remedy which counteracts a swallowed poison,an antidote
first aid,200,"To prevent swelling & discoloring from a blow to the body, apply this kind of compress immediately",a cold compress
first aid,300,Kind of shot given to prevent lockjaw after a puncture wound,a tetanus shot
first aid,400,"This ""hug"" is recommended as effective method to remove object blocking windpipe",the Heimlich maneuver
first aid,500,Full name for CPR,cardiopulmonary resuscitation
number please,100,An unlucky Friday or a baker's dozen,13
number please,200,Number of stars on American flag raised at Iwo Jima,48
number please,300,Square inches in a square foot,144
number please,1000,"Total of trombones & cornets in ""The Music Man"" tune",186
number please,500,Age range of an octogenarian,the 80s (or 80-89)
ben franklin,100,His spectacle invention that's a sight for sore eyes,bifocals
ben franklin,200,"\""Fish & guests stink in 3 days"" are among this almanac's wise words",Poor Richard('s Almanack)
ben franklin,300,He was president of the 1st society to press for its abolition,slavery
ben franklin,400,The postal service actually showed a profit when he held this position,Postmaster General
trivia,100,At last count there were only 70 of these head servants left in England,butlers
trivia,200,Nobody wants to hear all of this camp song about decreasing containers of brew,"\""99 Bottles Of Beer On The Wall\"""
trivia,300,"A stew of various meats, a jar of mixed flower petals, or an old ""Jeopardy"" category",potpourri
trivia,400,"This president is said to be related to John Kennedy, Princess Di & F. Mitterand",Ronald Reagan
trivia,500,"The place you most readily find ""QWERTYUIOP""; you can spell it using only these letters",a typewriter
grammar,200,"While either takes or, neither always takes this",nor
grammar,400,"The interjection in ""Whew! This is a tough answer\""",whew
grammar,600,Punctuation mark of the imperative mode,an exclamation mark
grammar,1000,"The word, phrase or clause a pronoun must agree with",the antecedent
world of fashion,200,The hat in the Mexican hat dance,a sombrero
world of fashion,400,"South Seas garb worn by Dorothy Lamour on ""The Road\""",a sarong
world of fashion,600,Where on his body an Arab would wear the traditional keffiyeh,his head
art,200,"A painting of inanimate objects, not people",a still life
u.s. geography,200,"It's ""where the wind comes sweeping down the plain\""",Oklahoma
u.s. geography,400,"State whose counties include Crockett, Zapata & Pecos",Texas
u.s. geography,700,"One of two states ending in ""T\""",(1 of) Connecticut and Vermont
u.s. geography,800,"Historic pass at junction of TN., KY., & VA., associated with Daniel Boone",the Cumberland Gap
u.s. geography,1000,Mountain range that surrounds city of Atlanta,the Blue Ridge Mountains
tv detectives,200,He was Dectective Lieutenant Dan August before he was Sharky,Burt Reynolds
tv detectives,400,He played father-in-law to Betty Jones & now is uncle to Matt Houston,Buddy Ebsen
tv detectives,500,Name of station police work out of in series with this theme,(the) Hill Street (station)
tv detectives,800,"Ex-""radio receptionist"" now ""partner in crime"" with Lynda Carter",Loni Anderson
tv detectives,1000,"Det. whose show was spun off from ""Barney Miller"", but thrown back due to small ratings",Fish
biology,400,"Wurlitzer's pride, or what tissues grouped together form",an organ
biology,600,Serology is the study of this body fluid closely resembling sea water,blood
biology,800,"In 1600's, amateur Dutch scientist van Leeuwenhoek discovered bacteria by using this",a microscope
biology,1000,Exobiology is the study of living things here,space
business & industry,0,Country that manufactures the most cars per year,Japan
british isles,100,"If you ""take the high road"", I'll get there afore ye",Scotland
british isles,200,Color represented with white & red on the Irish flag,green
british isles,300,X-rated actress Koo Stark's royal ex-beau,Prince Andrew
1945,100,Truman's state or battleship site of Japan's surrender,Missouri
1945,200,"Developed from radar research, it was first marketed for fast food preparation in '45",microwave creation
1945,300,Number of stars in U.S. flag raised over Iwo Jima,48
1945,400,"Rejected as movie script, Broadway loved this fragile Tennessee Williams drama",The Glass Menagerie
1945,500,"He ""lost"" a ""weekend"" but won an Oscar",Ray Milland
television,100,"They got married in the final episode of ""Happy Days\""",Joanie and Chachi
television,200,Editor Billie Newman & Joe Rossi worked for,Lou Grant
television,300,She shot J.R.,Mary Crosby
television,400,"Played WJM's man-hunting ""happy homemaker"" Sue Ann Nivens",Betty White
television,500,Marketing has begun on a line of nursewear from this TV medical show,"Trapper John, M.D."
fashion,100,"Espadrilles, clogs & ""tennies\""",shoes
fashion,200,"Until 19th c., ones made of chicken skin were worn by women to soften their hands",gloves
fashion,300,"\""Foreign"" name for the end of a sleeve folded back & fastened with a link",a French cuff
fashion,400,Pattern design which came from the horse blankets of Richard Tattersall,(the Tattersall) check (or plaid)
fashion,500,Breeches cut full above the knee used for horseback riding,jodhpurs
trivia,100,Words used instead of the cursing in Watergate tape transcripts,expletive deleted
trivia,200,Specialty store in which you'd buy lug nuts & feeler gauges,an auto supply store
trivia,300,Speed of an LP,33 1/3 inches per second
trivia,400,Number of vowels on the bottom row of keys of a standard typewriter,0
trivia,500,Howard Garis' bedtime tale-teller whose last name is Longears,Uncle Wiggily
hot spots,200,"Hottest temperature ever recorded was on this ""dark"" continent",Africa
hot spots,400,43 consecutive days of 120º heat were recorded in this appropriately named Calif. valley,Death Valley
hot spots,600,"National seashore resort that's been ""burning"" off Long Island for years",Fire Island
hot spots,800,"Named by Magellan for fires blazing on shore, it's South America's stormy southern tip",Tierra del Fuego
hot spots,1000,"Its foundation for polio victims was founded by FDR, who died here","Warm Springs, Georgia"
space,200,Titan is the largest moon of this ringed planet,Saturn
space,400,It forms a large part of Jupiter's atmosphere or Earth's kitchen cleaners,ammonia
space,600,The Van Allen belts surround most of this planet,Earth
space,800,Soviet ship which docked with our Apollo in '75,Soyuz
space,1500,Comet in 1973 which didn't put on its promised show,Kohoutek
3-letter words,200,"It's where flowers ""sleep\""",a bed
3-letter words,400,A flipper or a fiver,a fin
3-letter words,600,A grown-up acorn,an oak
3-letter words,800,To question,ask
3-letter words,1000,Bathroom the British skip to,the loo
trade centers,600,"City that's often called ""the rubber capital of the world\""","Akron, Ohio"
drama,200,"In the Middle Ages, monks presented ""mystery plays"" to illustrate stories from this",the Bible
drama,400,"Dramatic form, from Greek for ""merrymaking\""",comedy
drama,600,19th century Norwegian playwright often called founder of modern drama,Henrik Ibsen
drama,800,"In 1642, they closed English theaters for 18 years",the Puritans
drama,1000,"As he wished, the last play of Eugene O'Neill was produced after his death",Long Day's Journey Into Night
legends,200,"\""Inhaling the breath of a  loved one"" is the reason for this Eskimo ""kiss\""",rubbing noses
legends,400,"People whose gods included Odin, Thor & Loki",the Vikings (or the Norse)
legends,1000,Mythical creature Noah left behind in this Irish Rovers' song,a unicorn
legends,800,Only hope remained after this ancient Greek's box was opened,Pandora's box
